Month,Region,Business_Unit,Revenue_Actual,Revenue_Budget,Revenue_Forecast,COGS_Actual,COGS_Budget,COGS_Forecast,Opex_Actual,Opex_Budget,Opex_Forecast,Gross_Profit_Actual,Gross_Profit_Budget,Gross_Profit_Forecast,EBITDA_Actual,EBITDA_Budget,EBITDA_Forecast,Headcount_Actual,Headcount_Budget,Revenue_Variance,Revenue_Variance_Pct,Opex_Variance,EBITDA_Variance
2025-01-01,North America,Enterprise,880457.01,821958,871809.01,385418.31,357205.17,367213.18,175165.84,172609.12,176923.42,495038.7,464752.83,504595.83,319872.86,292143.71,327672.41,189,183,58499.01000000001,7.117031527158322,2556.720000000001,27729.149999999965
2025-01-01,North America,SMB,919777.55,1029365,965232.83,358770.55,458786.63,443480.86,283691.05,269434.39,278197.64,561007.0,570578.37,521751.96,277315.95,301143.98,243554.32,162,168,-109587.44999999995,-10.64612163809727,14256.659999999974,-23828.02999999997
2025-01-01,North America,Digital,836139.89,856730,815347.79,341664.91,383954.59,323156.94,223341.43,224324.98,238638.26,494474.98,472775.41,492190.85,271133.55,248450.43,253552.59,222,210,-20590.109999999986,-2.403337107373383,-983.5500000000175,22683.119999999995
2025-01-01,EMEA,Enterprise,1165794.43,1265894,1139162.64,544718.1,565122.92,508736.16,269689.41,291739.67,280903.36,621076.33,700771.08,630426.49,351386.91,409031.41,349523.13,195,190,-100099.57000000007,-7.907421158485629,-22050.26000000001,-57644.5
2025-01-01,EMEA,SMB,1271369.63,1272843,1238037.8,522154.56,564699.89,540250.68,303076.87,294244.53,311927.9,749215.07,708143.11,697787.12,446138.21,413898.59,385859.22,123,133,-1473.3700000001118,-0.11575426034476458,8832.339999999967,32239.619999999995
2025-01-01,EMEA,Digital,997455.58,902283,1065712.47,462569.96,380630.79,422229.39,180566.15,198139.8,182241.76,534885.62,521652.21,643483.08,354319.46,323512.41,461241.32,162,161,95172.57999999996,10.547974416009163,-17573.649999999994,30807.050000000047
2025-01-01,APAC,Enterprise,1012888.9,1048951,1013803.33,406445.92,438449.69,452312.2,249538.34,217610.2,261891.0,606442.98,610501.31,561491.14,356904.64,392891.11,299600.14,197,215,-36062.09999999998,-3.4379203604362814,31928.139999999985,-35986.46999999997
2025-01-01,APAC,SMB,775881.89,836330,813316.34,340206.21,364064.73,369929.67,250261.42,221717.52,264402.06,435675.68,472265.27,443386.67,185414.26,250547.75,178984.61,88,91,-60448.109999999986,-7.227782095584277,28543.900000000023,-65133.48999999999
2025-01-01,APAC,Digital,1018685.55,1051279,1063072.26,445475.08,448490.93,435041.62,268108.87,269258.14,286193.91,573210.46,602788.07,628030.64,305101.59,333529.92,341836.73,218,210,-32593.449999999953,-3.1003615595859855,-1149.2700000000186,-28428.329999999958
2025-02-01,North America,Enterprise,1409137.61,1323094,1443404.34,597760.8,551189.45,565496.0,253195.82,278893.85,262634.18,811376.81,771904.55,877908.34,558181.0,493010.7,615274.16,132,131,86043.6100000001,6.503212167842958,-25698.02999999997,65170.29999999999
